Key,Heidesleutel,,,,,,
Titel,Veldsleutel voor Heide,,,,,,
Versie,versie2_20230731,,,,,,
Auteurs,xxyy,,,,,,
STEP,TYPE,NAME,NEXT_STEP,CLASSIFICATION,BWK_CODE,SUBKEY,REMARK
64,A,"Open grazige vegetatie op van nature kalkarme, droge zandgrond met in de kruidlaag een aandeel van minstens 30% kensoorten van het dwerghaververbond",,2330_dw,hat,,
64,I,"kensoorten dwerghaververbond: Dwergviltkruid, Eekhoorngras, Klein vogelpootje, Klein tasjeskruid, Vroege haver, Zandblauwtjeen Zilverhaver.",,,,,
64,A,"Open grazige vegetatie met soorten van dwerghaververbond zoals in 2 vorige keuzes beschreven, maar op een ander bodemtype",,rbbha,ha,,
64,A,Anders,SLEUTEL,,,GRASLANDEN,
,,,,,,,
65,T1,heide met dominantie van adelaarsvaren,,,,,
65,Q,,,,,,
65,A,Kleine vlek (≤ 400 m²) in een groter heideterrein,,gaat op in de omliggend heide,,,
65,A,"Grotere vlek (> 400m²) in een groter heideterrein en met minstens frequent dwergstruikenb (struikhei, dophei, bosbes)",66,,,,
65,A,Anders,SLEUTEL,,,RUIGTEN_PIONIER,
,,,,,,,
66,Q,,,,,,
66,A,Op profielloos landduin,,2310,cp,,
66,A,Op andere bodems,,4030,cp,,
,,,,,,,
,,,,N2000 habitattype,BWK code,,Opmerking
70,T1,Open (pioniers)vegetaties op brandvlekken of plagplekken in de hei,,,,,
70,Q,,,,,,
70,A,Brandplek/plagplek nagenoeg vegetatieloos (< 5% bedekking) en geen permanent water vormend,71,,,,
70,A,Anders,72,,,,
71,Q,,,,,,
71,A,Brand/plagplek in een natte heide,,"4010,7150",c,,info: 'plagplek' of 'brandvlek'
71,A,Brand/plagplek in een droge heide op een profielloos landduin,,"2310,2330",c,,info: 'plagplek' of 'brandvlek'
71,A,Brand/plagplek in een droge heide op andere bodems,,4030,c,,info: 'plagplek' of 'brandvlek'
71,A,Plagplek op een kapvlakte van een bos of struweel,,gh,se,,info: plagplek
71,A,"Plagplek op een grasland, akker of ander niet-heide biotoop",,gh,ku,,info: plagplek
72,Q,,,,,,
72,A,"Pioniersvegetatie met een kruidlaag gedomineerd door witte en/of bruine snavelbies, moeraswolfsklauw en kleine zonnedauw; meestal met een hoog aandeel open bodem (al dan niet met wieren). De soorten van natte heide (gewone dophei, veenpluis, beenbreek, klokjesgentiaan, veenbies, pijpenstrootje) nemen een kleiner aandeel in dan de vermelde pionierssoorten.",,7150,ce,,In periodiek droogvallende heideslenken en op venoevers; Vaak tijdelijk op plagplekken = deel van omliggende heide.
72,A,Vegetatiebedekking ≥ 30% EN aandeel van grassen in de kruidlaag is > 50%  (= vergraste heide),10,,,,info: 'plagplek' of 'brandvlek'
72,A,Anders,73,,,,
73,Q,,,,,,
73,A,"Een jonge heide op vochtige tot natte bodem met abundant gewone dophei, veenpluis, veenbies, blauwe zegge, snavelbiezen, zonnedauw, … (aandeel natte heidesoorten > aandeel droge heidesoorten)",,4010,ce°,,info: 'plagplek' of 'brandvlek'
73,A,"Een jonge heide op droge bodem met abundant struikhei, stekelbrem, vroege haver, buntgras, ruig haarmos, … (aandeel droge heidesoorten > aandeel natte heidesoorten)",74,,,,
73,A,Bij gelijk aandeel van kenmerkende soorten van droge en natte heide en deze samen ministens abundant,,"4010,4030",c,,info: 'plagplek' of 'brandvlek'
73,A,Anders,75,,,,
,,,,,,,
74,Q,,,,,,
74,A,Op profielloos landduinen met aandeel struikhei > aandeel pioniersoorten,,2310,cg°,,info: 'plagplek' of 'brandvlek'
74,A,"Op profielloos landduinen met aandeel pioniersoorten (buntgras, grijs kronkelsteeltje, vroege haver, heidespurrie, ruig haarmos) > aandeel struikhei",,2330_bu,hac,,"Indien ≥ 10% open zand, dan wordt dm als eenh2 toegevoegd; info: plagplek"
74,A,Op andere bodems,,4030,cg°,,info: 'plagplek' of 'brandvlek'
75,Q,,,,,,
75,A,"Een plagplek op zeer natte bodem, bijna jaar rand onder water en hoofdzakelijk soorten van voedselarme wateren: open water, waterveenmos, vensikkelmos, knolrus",SLEUTEL,,,WATEREN,
75,A,"Plagplek met vnl. opslag van jonge bomen, struiken en bramen; indicatieve heidesoorten hoogstens frequent aanwezig",SLEUTEL,,,BOSSEN_STRUWELEN,
75,A,"Plagplek op van nature kalkarme, droge zandgrond met een kruidlaag gekenmerkt door een hoog aandeel éénjarigen (minstens 10%) waaronder minstens 2 kensoorten van het dwerghaververbond",,2330_dw,hat,,info: 'plagplek'
75,I,"kensoorten dwerghaververbond: Dwergviltkruid, Eekhoorngras, Klein vogelpootje, Klein tasjeskruid, Vroege haver, Zandblauwtjeen Zilverhaver.",,,,,
,A,"Plagplek in een heidegebied met kruidlaag gedomineerd door pijpenstrootje, bochtige smele, fijn schapengras en/of struisgrassen.",,"4010,4030",c,,"info: 'plagplek'; op basis van aanwezige
 heidesoorten en/of vorige kartering kan tot 4010 of 4030 beslist worden"
,A,Plagplek met indicatieve heidesoorten afwezig of hoogstens frequent aanwezig.,,76,,,info: 'plagplek'
76,Q,,,,,,
76,A,"Soortenrijke, bloemrijke vegetaties met meerdere bijzondere soortensamen frequent aanwezig:",,gh,ku*,,"Indien deze soortenlijst in combinatie met hoge bedekking aan invasieve planten, wordt de karteringseenheid intermediair: ku"
,I,"vb. grondster, duizendguldenkruidsoorten, sierlijke/tengere vetmuur, slangenkruid, wijdbloeide rus, ...",,,,,
,I,Aanwezigheid van zeldzamere doelsoorten bij recente natuurontwikkeling.,,,,,
